,group,norm type,rho,eta,near factor,S or R,Sample,Linear Shrinkage,Nonlinear Shrinkage,Info Band
27,R,fro,0.9,0.8,1.0,43.13221315483764,19.772264929327942,17.85491297785513,17.437447292707624,20.977601020359018
28,S,fro,0.9,0.8,2.0,43.13221315483764,20.526916547175514,18.416764109337105,18.538689416986077,39.553615296867044
29,R,fro,0.9,0.8,2.0,43.13221315483764,19.087954369251268,17.468488817448293,17.632055067677893,39.476373497648716
30,S,fro,0.9,1.0,0.5,43.13221315483764,21.101592273656244,18.183417654464947,17.70414166738703,10.885420227026962
31,R,fro,0.9,1.0,0.5,43.13221315483764,19.171788295852007,17.3605966027084,16.867916865952015,8.218821346624447
32,S,fro,0.9,1.0,1.0,43.13221315483764,18.314531290436477,18.038715289241463,17.721526989312167,10.448173168526884
33,R,fro,0.9,1.0,1.0,43.13221315483764,18.214785322718306,17.21477799414928,17.19073725034897,8.900154280193272
34,S,fro,0.9,1.0,2.0,43.13221315483764,21.116714937709624,18.506240335161923,18.145596267650227,10.656500417901933
35,R,fro,0.9,1.0,2.0,43.13221315483764,20.058072962479635,17.949320566938514,17.53911989625125,8.760298022921129
36,S,fro,0.95,0.5,0.5,60.93183913697848,20.95248957074638,20.947426688946887,20.36885683303404,50.96216168747495
37,R,fro,0.95,0.5,0.5,60.93183913697848,17.576786067815203,18.136059425234137,18.006622151212945,50.587282647663116
38,S,fro,0.95,0.5,1.0,60.93183913697848,21.573012275097735,21.454946136343462,20.814339481683987,50.969966210849314
39,R,fro,0.95,0.5,1.0,60.93183913697848,18.437129633098156,18.15504540071963,17.924126064594905,50.589776013151216
40,S,fro,0.95,0.5,2.0,60.93183913697848,19.470287848609953,18.495352853013063,18.573895272145545,50.72323404776636
41,R,fro,0.95,0.5,2.0,60.93183913697848,18.36398005135179,17.297720662908592,17.488570499617975,50.58254159474186
42,S,fro,0.95,0.8,0.5,60.93183913697848,25.612483769946184,20.850658099310643,21.68584668038134,42.17999330379553
43,R,fro,0.95,0.8,0.5,60.93183913697848,20.06835668133566,17.525684647851143,17.395822623916,41.31297936813357
44,S,fro,0.95,0.8,1.0,60.93183913697848,18.94240977001734,18.823222703110037,18.582021342929995,43.43926229662244
45,R,fro,0.95,0.8,1.0,60.93183913697848,16.969198181287396,17.02919864570834,17.02037537777627,42.96524246058623
