,N,T,rho,ord,type,Sample,Soft Threshold,Hard Threshold,Linear Shrink,Nonlinear Shrink
37,300,300,0.95,fro,S,0.2364011169845811,0.1765055868828345,0.2082912693525309,0.2184527184736437,
38,300,300,0.95,2,R,0.2111258437790508,0.2606856715000773,0.1581797421304522,0.1882802828007567,
39,300,300,0.95,2,S,0.2548188244061021,0.2336596516311109,0.188806851054864,0.2052334225190866,
40,300,500,0.8,fro,R,0.3633565937369246,0.3633465797699245,0.3633565937369246,0.3307980182317506,0.3201112207106047
41,300,500,0.8,fro,S,0.3772067129394515,0.3771966108608919,0.3772067129394515,0.3369982439273942,0.3258445592915487
42,300,500,0.8,2,R,0.4757757647569306,0.2176900856259799,0.1506520796083785,0.3627411072708475,0.3355980827012815
43,300,500,0.8,2,S,0.4952047239318917,0.2307372730008194,0.1901308851168405,0.3566827937963294,0.3282441502697669
44,300,500,0.95,fro,R,0.165517259053255,0.1655172044919192,0.1389684918500987,0.1615080001040964,0.1594538692485565
45,300,500,0.95,fro,S,0.1800665758718816,0.1800665144717612,0.1536606614406091,0.1689529985840921,0.1693773630525412
46,300,500,0.95,2,R,0.1645802158098935,0.1227214540176127,0.164575896485659,0.1360457925737452,0.1304353325837113
47,300,500,0.95,2,S,0.1899350766632391,0.122578579430969,0.1899296771479455,0.1583796454566558,0.1593731429378122
48,500,100,0.8,fro,R,1.0466522790221378,0.4036611037713449,0.8774957290660245,0.6779665771007262,
49,500,100,0.8,fro,S,1.0474009805879638,0.4194097357629734,0.880104364564968,0.6795192464336485,
50,500,100,0.8,2,R,1.4766386209903255,0.4966604553157033,0.8839618667745488,0.7630134783453066,
51,500,100,0.8,2,S,1.4698946379517048,0.5301654722960452,0.8887738855253634,0.7661080975172588,
52,500,100,0.95,fro,R,0.4992661723787068,0.3795021581261887,0.9735165500676308,0.4383606786425421,
53,500,100,0.95,fro,S,0.5188409476459195,0.3920812974447186,0.9739185962894654,0.4507363641289791,
54,500,100,0.95,2,R,0.6385187010656826,0.7269314154688485,0.9740277604647504,0.4475060447745862,
55,500,100,0.95,2,S,0.691658207495679,0.7375346781555633,0.9743061494104568,0.4668100661150957,
56,500,300,0.8,fro,R,0.6116942292548504,0.2580522054396164,0.8825930669083584,0.5054370285848099,
57,500,300,0.8,fro,S,0.6098555467871464,0.2730686942224739,0.8833772964027042,0.5084058063400236,
58,500,300,0.8,2,R,0.8731057075812717,0.3282607936321323,0.8887660839936569,0.5971235605033632,
59,500,300,0.8,2,S,0.8759392825301014,0.3570067150858246,0.8909269247611076,0.6015951138432704,
60,500,300,0.95,fro,R,0.3014509508992394,0.2162949513625127,0.9735165500676308,0.2839944980445308,
61,500,300,0.95,fro,S,0.3147680811469419,0.2355004973877204,0.9737125716827224,0.2971016162330117,
62,500,300,0.95,2,R,0.4033757099900365,0.2882089194449454,0.9740277604647504,0.3067950387124192,
63,500,300,0.95,2,S,0.4316479792381386,0.3186651025694255,0.9745994537081066,0.3292782219862578,
64,500,500,0.8,fro,R,0.4723688733485227,0.2065857172537545,0.8829110065007169,0.4173016691514336,
65,500,500,0.8,fro,S,0.4759702639534621,0.2155612685735661,0.8833776345525717,0.4199876014767154,
66,500,500,0.8,2,R,0.5778432412439317,0.3123169539800894,0.8865688556932299,0.4974888493230848,
67,500,500,0.8,2,S,0.5840314483881651,0.3214093383113985,0.8869686126384165,0.5003436409973117,
68,500,500,0.95,fro,R,0.2213290933763392,0.1635437665027003,0.9735165500676308,0.2140140874039003,
69,500,500,0.95,fro,S,0.2339947766092351,0.1762597923549315,0.9736389702227198,0.2249576731007325,
70,500,500,0.95,2,R,0.2363401153593623,0.2203687547025608,0.9740277604647504,0.2165065917858817,
71,500,500,0.95,2,S,0.2635297265318118,0.2520822932191663,0.9742289774362918,0.2410647609384534,
