,group,norm type,rho,eta,near factor,S or R,Sample,Linear Shrinkage,Nonlinear Shrinkage,Info Band
105,R,2,0.90,1.00,1.00,18.65,8.89,7.73,7.05,17.29
106,S,2,0.90,1.00,2.00,18.65,9.72,7.50,6.88,17.63
107,R,2,0.90,1.00,2.00,18.65,8.74,7.82,7.34,17.65
108,S,2,0.95,0.50,0.50,36.58,13.42,12.26,11.97,30.10
109,R,2,0.95,0.50,0.50,36.58,8.81,9.84,9.77,30.08
110,S,2,0.95,0.50,1.00,36.58,10.89,11.63,11.31,30.86
111,R,2,0.95,0.50,1.00,36.58,9.77,10.86,10.90,30.84
112,S,2,0.95,0.50,2.00,36.58,12.00,9.46,9.27,35.09
113,R,2,0.95,0.50,2.00,36.58,9.39,9.17,8.94,35.09
114,S,2,0.95,0.80,0.50,36.58,10.05,10.51,10.01,24.71
115,R,2,0.95,0.80,0.50,36.58,9.07,9.45,9.15,24.47
116,S,2,0.95,0.80,1.00,36.58,8.84,10.35,9.37,32.09
117,R,2,0.95,0.80,1.00,36.58,8.12,9.37,8.77,32.15
118,S,2,0.95,0.80,2.00,36.58,17.75,13.12,13.36,24.75
119,R,2,0.95,0.80,2.00,36.58,13.48,9.94,9.88,25.02
120,S,2,0.95,1.00,0.50,36.58,14.36,10.54,13.32,32.94
121,R,2,0.95,1.00,0.50,36.58,9.87,7.14,9.41,33.18
122,S,2,0.95,1.00,1.00,36.58,11.84,13.79,12.65,10.60
123,R,2,0.95,1.00,1.00,36.58,9.33,11.58,10.50,7.01
124,S,2,0.95,1.00,2.00,36.58,10.30,12.39,11.46,35.19
125,R,2,0.95,1.00,2.00,36.58,8.95,10.60,10.42,35.19
126,S,2,0.99,0.50,0.50,114.67,20.57,24.11,20.68,113.33
127,R,2,0.99,0.50,0.50,114.67,6.70,9.05,7.95,113.14
128,S,2,0.99,0.50,1.00,114.67,13.59,10.62,13.78,111.04
129,R,2,0.99,0.50,1.00,114.67,7.93,8.83,7.58,111.14
130,S,2,0.99,0.50,2.00,114.67,15.85,12.57,16.23,108.14
131,R,2,0.99,0.50,2.00,114.67,7.33,8.91,7.35,108.39
132,S,2,0.99,0.80,0.50,114.67,22.88,17.94,23.35,101.16
133,R,2,0.99,0.80,0.50,114.67,9.61,7.24,9.30,102.16
134,S,2,0.99,0.80,1.00,114.67,29.34,23.65,29.89,99.97
135,R,2,0.99,0.80,1.00,114.67,8.19,7.33,6.85,102.14
136,S,2,0.99,0.80,2.00,114.67,21.63,16.13,22.15,100.59
137,R,2,0.99,0.80,2.00,114.67,6.01,3.15,4.63,102.14
138,S,2,0.99,1.00,0.50,114.67,14.37,13.28,14.95,21.19
139,R,2,0.99,1.00,0.50,114.67,15.07,11.84,13.66,21.98
140,S,2,0.99,1.00,1.00,114.67,25.81,29.75,26.91,36.34
141,R,2,0.99,1.00,1.00,114.67,17.06,20.23,19.70,28.00
142,S,2,0.99,1.00,2.00,114.67,36.91,40.69,37.51,113.88
143,R,2,0.99,1.00,2.00,114.67,14.16,18.23,16.67,113.67
144,S,1,0.80,0.50,0.50,9.00,19.75,14.48,13.80,4.88
145,R,1,0.80,0.50,0.50,9.00,19.00,14.46,13.77,4.21
146,S,1,0.80,0.50,1.00,9.00,21.69,15.02,14.87,5.53
147,R,1,0.80,0.50,1.00,9.00,19.76,14.85,14.98,4.78
148,S,1,0.80,0.50,2.00,9.00,22.82,15.72,15.72,6.71
