,group,norm type,rho,eta,near factor,S or R,Sample,Linear Shrinkage,Nonlinear Shrinkage,Info Band
30,S,2,0.9,0.5,2.0,18.83553062398229,12.228418015584325,11.436088538872488,10.837274230804095,17.298299657356175
31,R,2,0.9,0.5,2.0,18.83553062398229,11.024111059787685,11.24364265724906,10.674325986079669,17.31564090213043
32,S,fro,0.9,0.8,0.5,53.03790522429895,30.9001480226599,26.27734364972383,25.709808066254013,48.95041025801906
33,R,fro,0.9,0.8,0.5,53.03790522429895,29.950236230046354,25.723150980298467,25.16376212066515,48.85420649307737
34,S,2,0.9,0.8,0.5,18.83553062398229,12.228418015584325,11.436088538872488,10.837274230804095,17.35329703836538
35,R,2,0.9,0.8,0.5,18.83553062398229,11.024111059787685,11.24364265724906,10.674325986079669,17.37678699631081
36,S,fro,0.9,0.8,2.0,53.03790522429895,30.9001480226599,26.27734364972383,25.709808066254013,48.797619974971255
37,R,fro,0.9,0.8,2.0,53.03790522429895,29.950236230046354,25.723150980298467,25.16376212066515,48.70464284965214
38,S,2,0.9,0.8,2.0,18.83553062398229,12.228418015584325,11.436088538872488,10.837274230804095,17.322901756948553
39,R,2,0.9,0.8,2.0,18.83553062398229,11.024111059787685,11.24364265724906,10.674325986079669,17.34406234483834
40,S,fro,0.9,1.0,0.5,53.03790522429895,30.9001480226599,26.27734364972383,25.709808066254013,49.39738741755406
41,R,fro,0.9,1.0,0.5,53.03790522429895,29.950236230046354,25.723150980298467,25.16376212066515,49.31593584417741
42,S,2,0.9,1.0,0.5,18.83553062398229,12.228418015584325,11.436088538872488,10.837274230804095,17.541050679145822
43,R,2,0.9,1.0,0.5,18.83553062398229,11.024111059787685,11.24364265724906,10.674325986079669,17.562858057094733
44,S,fro,0.9,1.0,2.0,53.03790522429895,30.9001480226599,26.27734364972383,25.709808066254013,49.39738741755406
45,R,fro,0.9,1.0,2.0,53.03790522429895,29.950236230046354,25.723150980298467,25.16376212066515,49.31593584417741
46,S,2,0.9,1.0,2.0,18.83553062398229,12.228418015584325,11.436088538872488,10.837274230804095,17.541050679145822
47,R,2,0.9,1.0,2.0,18.83553062398229,11.024111059787685,11.24364265724906,10.674325986079669,17.562858057094733
48,S,fro,0.95,0.5,0.5,75.2593586981937,30.01753811229858,30.362974419971497,29.225115615303203,60.508689968473256
49,R,fro,0.95,0.5,0.5,75.2593586981937,29.47580323139582,28.299892574712008,27.26529455444621,60.0566340092524
50,S,2,0.95,0.5,0.5,37.76452401816818,13.565792080797914,15.814581907594414,14.256079873343126,30.723580262351415
51,R,2,0.95,0.5,0.5,37.76452401816818,14.424680575586036,14.291884025795392,13.02385265909053,30.15246001880678
52,S,fro,0.95,0.5,2.0,75.2593586981937,30.01753811229858,30.362974419971497,29.225115615303203,45.48666307683208
53,R,fro,0.95,0.5,2.0,75.2593586981937,29.47580323139582,28.299892574712008,27.26529455444621,44.38044618212472
54,S,2,0.95,0.5,2.0,37.76452401816818,13.565792080797914,15.814581907594414,14.256079873343126,22.914956662183194
55,R,2,0.95,0.5,2.0,37.76452401816818,14.424680575586036,14.291884025795392,13.02385265909053,21.57608162373077
56,S,fro,0.95,0.8,0.5,75.2593586981937,30.01753811229858,30.362974419971497,29.225115615303203,65.14015113011796
57,R,fro,0.95,0.8,0.5,75.2593586981937,29.47580323139582,28.299892574712008,27.26529455444621,64.85041038538036
58,S,2,0.95,0.8,0.5,37.76452401816818,13.565792080797914,15.814581907594414,14.256079873343126,32.966053975301506
59,R,2,0.95,0.8,0.5,37.76452401816818,14.424680575586036,14.291884025795392,13.02385265909053,32.58694133760629
60,S,fro,0.95,0.8,2.0,75.2593586981937,30.01753811229858,30.362974419971497,29.225115615303203,56.14885737934888
61,R,fro,0.95,0.8,2.0,75.2593586981937,29.47580323139582,28.299892574712008,27.26529455444621,55.524360932039926
62,S,2,0.95,0.8,2.0,37.76452401816818,13.565792080797914,15.814581907594414,14.256079873343126,28.652592237602637
63,R,2,0.95,0.8,2.0,37.76452401816818,14.424680575586036,14.291884025795392,13.02385265909053,27.88945114241561
64,S,fro,0.95,1.0,0.5,75.2593586981937,30.01753811229858,30.362974419971497,29.225115615303203,65.21217790038352
65,R,fro,0.95,1.0,0.5,75.2593586981937,29.47580323139582,28.299892574712008,27.26529455444621,64.92950389014678
66,S,2,0.95,1.0,0.5,37.76452401816818,13.565792080797914,15.814581907594414,14.256079873343126,33.01328608292704
67,R,2,0.95,1.0,0.5,37.76452401816818,14.424680575586036,14.291884025795392,13.02385265909053,32.63847305569741
68,S,fro,0.95,1.0,2.0,75.2593586981937,30.01753811229858,30.362974419971497,29.225115615303203,66.1314994817932
69,R,fro,0.95,1.0,2.0,75.2593586981937,29.47580323139582,28.299892574712008,27.26529455444621,65.87244988716368
70,S,2,0.95,1.0,2.0,37.76452401816818,13.565792080797914,15.814581907594414,14.256079873343126,33.421366168858036
71,R,2,0.95,1.0,2.0,37.76452401816818,14.424680575586036,14.291884025795392,13.02385265909053,33.08052727091721
72,S,fro,0.99,0.5,0.5,157.83783849591055,23.543381690264425,27.29005651052323,24.360277565435876,152.62635815122607
73,R,fro,0.99,0.5,0.5,157.83783849591055,18.32387004510075,18.775324777583783,18.71613721842557,152.56070974661438
74,S,2,0.99,0.5,0.5,139.0560071935269,15.190573067528252,19.344168735325532,15.92066969957634,133.94178738031607
75,R,2,0.99,0.5,0.5,139.0560071935269,11.878050339755868,13.733859778037719,12.656045389835613,133.5260043980478
76,S,fro,0.99,0.5,2.0,157.83783849591055,23.543381690264425,27.29005651052323,24.360277565435876,151.0745686444786
77,R,fro,0.99,0.5,2.0,157.83783849591055,18.32387004510075,18.775324777583783,18.71613721842557,150.98794608707635
78,S,2,0.99,0.5,2.0,139.0560071935269,15.190573067528252,19.344168735325532,15.92066969957634,132.36878895103197
79,R,2,0.99,0.5,2.0,139.0560071935269,11.878050339755868,13.733859778037719,12.656045389835613,131.81623307866707
80,S,fro,0.99,0.8,0.5,157.83783849591055,23.543381690264425,27.29005651052323,24.360277565435876,137.13473350432398
81,R,fro,0.99,0.8,0.5,157.83783849591055,18.32387004510075,18.775324777583783,18.71613721842557,136.85607406483672
82,S,2,0.99,0.8,0.5,139.0560071935269,15.190573067528252,19.344168735325532,15.92066969957634,118.79527368447901
83,R,2,0.99,0.8,0.5,139.0560071935269,11.878050339755868,13.733859778037719,12.656045389835613,117.09235393526808
84,S,fro,0.99,0.8,2.0,157.83783849591055,23.543381690264425,27.29005651052323,24.360277565435876,153.44942881798326
85,R,fro,0.99,0.8,2.0,157.83783849591055,18.32387004510075,18.775324777583783,18.71613721842557,153.3940103424173
86,S,2,0.99,0.8,2.0,139.0560071935269,15.190573067528252,19.344168735325532,15.92066969957634,134.71795058760063
87,R,2,0.99,0.8,2.0,139.0560071935269,11.878050339755868,13.733859778037719,12.656045389835613,134.3599391647334
88,S,fro,0.99,1.0,0.5,157.83783849591055,23.543381690264425,27.29005651052323,24.360277565435876,38.64052411287815
89,R,fro,0.99,1.0,0.5,157.83783849591055,18.32387004510075,18.775324777583783,18.71613721842557,35.164658232769646
90,S,2,0.99,1.0,0.5,139.0560071935269,15.190573067528252,19.344168735325532,15.92066969957634,29.361907428882827
91,R,2,0.99,1.0,0.5,139.0560071935269,11.878050339755868,13.733859778037719,12.656045389835613,20.957868788245623
92,S,fro,0.99,1.0,2.0,157.83783849591055,23.543381690264425,27.29005651052323,24.360277565435876,41.234215210100686
93,R,fro,0.99,1.0,2.0,157.83783849591055,18.32387004510075,18.775324777583783,18.71613721842557,37.94187955083321
94,S,2,0.99,1.0,2.0,139.0560071935269,15.190573067528252,19.344168735325532,15.92066969957634,31.489525528977243
95,R,2,0.99,1.0,2.0,139.0560071935269,11.878050339755868,13.733859778037719,12.656045389835613,23.041831460128034
